epitope,dpi,AUC
PR8,14,6325
PR8,14,2390
PR8,14,4688
PR8,14,6849
PR8,14,6346
PR8,14,3373
PR8,14,6607
PR8,14,7701
PR8,21,4400
PR8,21,8619
PR8,21,1945
PR8,21,7957
PR8,21,7535
PR8,21,8998
PR8,21,6817
PR8,28,10591
PR8,28,12741
PR8,28,3557
PR8,28,11494
PR8,28,10936
PR8,28,7421
PR8,28,7508
PR8,40,11560
PR8,40,17522
PR8,40,11115
PR8,40,8083
D4 Sa B9,14,2011
D4 Sa B9,14,193.7
D4 Sa B9,14,0
D4 Sa B9,14,3022
D4 Sa B9,14,1117
D4 Sa B9,14,3790
D4 Sa B9,14,3379
D4 Sa B9,14,2888
D4 Sa B9,21,1381
D4 Sa B9,21,641.9
D4 Sa B9,21,1.58
D4 Sa B9,21,2251
D4 Sa B9,21,719.4
D4 Sa B9,21,2838
D4 Sa B9,21,2161
D4 Sa B9,28,1134
D4 Sa B9,28,3037
D4 Sa B9,28,0
D4 Sa B9,28,4133
D4 Sa B9,28,4677
D4 Sa B9,28,1550
D4 Sa B9,28,2658
D4 Sa B9,40,757.4
D4 Sa B9,40,8053
D4 Sa B9,40,3030
D4 Sa B9,40,0
D4 Sb C7,14,1962
D4 Sb C7,14,345.9
D4 Sb C7,14,0
D4 Sb C7,14,1895
D4 Sb C7,14,1753
D4 Sb C7,14,1259
D4 Sb C7,14,4775
D4 Sb C7,14,1973
D4 Sb C7,21,2073
D4 Sb C7,21,2634
D4 Sb C7,21,34.19
D4 Sb C7,21,63.46
D4 Sb C7,21,38.96
D4 Sb C7,21,71.85
D4 Sb C7,21,3659.5
D4 Sb C7,28,4608
D4 Sb C7,28,3141
D4 Sb C7,28,685.2
D4 Sb C7,28,3483
D4 Sb C7,28,9561
D4 Sb C7,28,4496
D4 Sb C7,28,6315.5
D4 Sb C7,40,6839
D4 Sb C7,40,11649
D4 Sb C7,40,5801
D4 Sb C7,40,2726
D4 Ca1 1B1,14,1611
D4 Ca1 1B1,14,213
D4 Ca1 1B1,14,339.8
D4 Ca1 1B1,14,2322
D4 Ca1 1B1,14,1548
D4 Ca1 1B1,14,2777
D4 Ca1 1B1,14,2647
D4 Ca1 1B1,14,2044
D4 Ca1 1B1,21,1341
D4 Ca1 1B1,21,1098
D4 Ca1 1B1,21,33.99
D4 Ca1 1B1,21,1776
D4 Ca1 1B1,21,876.6
D4 Ca1 1B1,21,2349
D4 Ca1 1B1,21,531.7
D4 Ca1 1B1,28,782
D4 Ca1 1B1,28,0
D4 Ca1 1B1,28,0
D4 Ca1 1B1,28,4084
D4 Ca1 1B1,28,2553
D4 Ca1 1B1,28,1203
D4 Ca1 1B1,28,821.9
D4 Ca1 1B1,40,775.7
D4 Ca1 1B1,40,6060
D4 Ca1 1B1,40,2882
D4 Ca1 1B1,40,0
D4 Ca2 D6,14,624.7
D4 Ca2 D6,14,0
D4 Ca2 D6,14,0
D4 Ca2 D6,14,1552
D4 Ca2 D6,14,934.9
D4 Ca2 D6,14,1318
D4 Ca2 D6,14,3045
D4 Ca2 D6,14,1189
D4 Ca2 D6,21,614.3
D4 Ca2 D6,21,518.2
D4 Ca2 D6,21,0
D4 Ca2 D6,21,1207
D4 Ca2 D6,21,1248
D4 Ca2 D6,21,2583
D4 Ca2 D6,21,439.1
D4 Ca2 D6,28,3295
D4 Ca2 D6,28,5708
D4 Ca2 D6,28,0
D4 Ca2 D6,28,5578
D4 Ca2 D6,28,1602
D4 Ca2 D6,28,1634
D4 Ca2 D6,28,2333
D4 Ca2 D6,40,774.9
D4 Ca2 D6,40,9133
D4 Ca2 D6,40,4070
D4 Ca2 D6,40,0
D4 Cb A1,14,3990
D4 Cb A1,14,806.9
D4 Cb A1,14,3481
D4 Cb A1,14,2991
D4 Cb A1,14,6874
D4 Cb A1,14,2501
D4 Cb A1,14,3977
D4 Cb A1,14,7247
D4 Cb A1,21,2354
D4 Cb A1,21,3475
D4 Cb A1,21,1617
D4 Cb A1,21,5414
D4 Cb A1,21,3922
D4 Cb A1,21,7069
D4 Cb A1,21,4862
D4 Cb A1,28,1872
D4 Cb A1,28,2266
D4 Cb A1,28,0
D4 Cb A1,28,5162
D4 Cb A1,28,6430
D4 Cb A1,28,4466
D4 Cb A1,28,5276
D4 Cb A1,40,4186
D4 Cb A1,40,7788
D4 Cb A1,40,2933
D4 Cb A1,40,1481
SEQ12,14,989.1
SEQ12,14,241.6
SEQ12,14,1762
SEQ12,14,924.4
SEQ12,14,662.2
SEQ12,14,958.9
SEQ12,14,1633
SEQ12,14,242
SEQ12,21,702.3
SEQ12,21,349.8
SEQ12,21,15.36
SEQ12,21,929.8
SEQ12,21,1500
SEQ12,21,260
SEQ12,21,487
SEQ12,28,1825
SEQ12,28,3562
SEQ12,28,324.6
SEQ12,28,674.7
SEQ12,28,1252
SEQ12,28,2031
SEQ12,28,595.5
SEQ12,40,324.8
SEQ12,40,1326
SEQ12,40,2538
SEQ12,40,1282
